[main_menu]|en|fi|pt|ru|zh|ja|ko|de
uber|Uber|Uber|Uber|Убер|尤伯杯|ユーバー|동네 짱|Uber
rebound_damage|rebound damage.|vahinkoa kimmotessa.|repuntar daños.|урона от рикошета.|反弹伤害。|ダメージをリバウンド。|손상을 회복.|Abprallschaden.
chance_to_pierce|chance to pierce.|mahdollisuus lävistää.|posibilidad de perforar.|шанс Пронзить.|机会刺穿。|突き刺すチャンス。|피어싱 기회.|Chance zu durchbohren.
retaliation_damage|retaliation damage.|kostoiskuvahinkoa.|daños represalia.|ответного урона.|报复伤害。|報復の損傷。|보복 손상.|Vergeltungsschaden.
loot_filter|Loot filter|Esinesuodatin|Filtro botín|Лут фильтр|战利品过滤器|戦利品フィルタ|전리품 필터|Beutefilter
rune_filter|Rune filter|Riimusuodatin|Filtro de runa|Фильтр Рун|符文过滤器|ルーンフィルタ|룬 필터|Runenfilter
common_loot_socket_filter|Common loot socket filter|Yleisten esineiden paikkasuodatin|Common loot socket filter|Common loot socket filter|Common loot socket filter|Common loot socket filter|Common loot socket filter|Common loot socket filter
filter|Filter|Suodatin|Filtro|Фильтр|过滤|フィルタ|필터|Filter
filter_all|All|Kaikki|Tudo|Всё|所有|すべて|모두|Alle
filter_chests_and_keys|Chests|Arkut|Baús|Сундуки|箱子|チェスト|상자|Truhen
filter_items|Items|Esineet|Itens|Предметы|物品|アイテム|아이템|Gegenstände
owned|Owned|Omistettu|Propiedad|Приобретено|国有|所有|소유|Erworben
not_purchased|Not Purchased|Ei Ostettu|No comprado|Не приобретено|未购买|購入していません|구입하지|Nicht gekauft
class|Class|Luokka|Clase|Класс|类|クラス|수업|Klasse
skin|Skin|Ulkoasu|Piel|Костюм|皮肤|肌|피부|Skin
companion|Companion|Kumppani|Compañero|Компаньон|伴侣|コンパニオン|동반자|Begleiter
rank|Rank|Sijoitus|Rango|Ранг|秩|順位|계급|Rang
mage|Mage|Velho|Mago|Маг|魔术师|メイジ|마술사|Magier
tank|Tank|Tankki|Tanque|Танк|罐|タンク|탱크|Panzer
join_own_guild|Join one of your own guilds?|Liity omaan kiltaasi?|Juntar-se a uma de suas próprias guildas?|Присоединиться к одной из ваших собственных гильдий?|加入您自己的公会之一？|自分のギルドに参加しませんか？|자신의 길드 중 하나에 가입 하시겠습니까?|Einer deiner eigenen Gilden beitreten?
resign_from_guild|Are you sure you want to resign from this guild?|Haluatko varmasti erota killasta?|Tem certeza de que quer demitir-se desta aliança?|Вы уверены, что хотите выйти из этой гильдии?|你确定你想从这个公会辞职？|あなたはこのギルドから辞任してもよろしいでしょうか？|당신은 당신이 길드에서 탈퇴 하시겠습니까?|Sind Sie sicher, dass Sie diese Gilde verlassen wollen?
invited_to_guild|has invited you to join|kutsui sinut liittymään|convidou você para participar|приглашает вас присоединиться к|已邀请您加入|に参加するためにあなたを招待しました|초대했습니다|hat Sie zu einer Gilde eingeladen
trade_failed|Trade failed.|Vaihto epäonnistui.|Comércio falhou.|Не удалось совершить Обмен.|交易失败。|トレードに失敗しました。|무역에 실패했습니다.|Handel fehlgeschlagen.
other_inventory_full|Other player's inventory is full.|Toisen pelaajan reppu on täynnä.|Inventário de outro jogador está cheia.|Инвентарь другого игрока заполнен.|其他玩家的库存已满。|他のプレイヤーのインベントリがいっぱいです。|다른 플레이어의 인벤토리가 꽉 찼습니다.|Inventar des anderen Spielers ist voll.
inventory_full|Inventory full!|Reppu täynnä!|Estoque cheio!|Инвентарь заполнен!|库存十足！|在庫いっぱい！|재고 가득!|Inventar voll!
rank_challenger|Challenger|Haastaja|Desafiador|Претендент|挑战者|挑戦者|챌린저|Herausforderer
rank_master|Master|Mestari|Maestro|Мастер|主|主人|마스터|Meister
rank_diamond|Diamond|Timantti|Diamante|Бриллиантовый|钻石|ダイヤモンド|다이아|Diamant
rank_platinum|Platinum|Platina|Platino|Платиновый|铂|白金|플래티넘|Platin
rank_gold|Gold|Kultaa|Ouro|Золото|金币|ゴールド|골드|Gold
rank_silver|Silver|Hopea|Plata|Серебряный|银|銀|실버|Silber
rank_bronze|Bronze|Pronssi|Bronce|Бронзовый|青铜|ブロンズ|브론즈|Bronze
souls|Souls|Sielua|El alma|Души|灵魂|魂|영혼|Seelen
seeds_idle|Idle Seeds|Joutilaat Siemenet|Semillas de inactividad|Неактивные Семена|空闲种子|アイドルの種|유휴 씨|Leerlauf Samen
seeds_active|Active Seeds|Aktiiviset Siemenet|Semillas activas|Активированные Семена|主动种子|活性種|활성 씨앗|Aktive Samen
seeds_deposit|Deposit Seeds|Talleta Siemeniä|semillas de depósitos|Сложить Семена|存款种子|預金の種|예금 씨앗|Kaution Samen
quest_jacks_key|Jack's Key!|Jackin avain!|Clave de Jack!|Ключ Джека!|杰克的关键！|ジャックのキー！|잭의 키!|Jacks Schlüssel!
failed|Failed!|Epäonnistui!|¡Ha fallado!|Неудача!|失败！|失敗しました！|실패한!|Gescheitert!
rescue_prisoner|Rescue the Prisoner|Pelasta vanki|Resgatar o prisioneiro|Спасти Пленника|拯救犯人|囚人を救います|포로를 구출|Rettung der Gefangenen
prisoner|Prisoner|Vanki|Prisioneiro|Пленник|囚犯|囚人|죄인|Häftling
samurai_ad|Samurai is a close combat class with lots of mobility and deadly damage!|Samurai on lähitaistelun luokka, jolla on paljon liikkuvutta ja tappavaa vahinkoa!|Samurai es una clase de cuerpo a cuerpo con mucha movilidad y el daño mortal!|Самурай - это класс ближнего боя. Высокая мобильность и смертоносные атаки.|武士是近战类有大量的流动性和致命的伤害！|サムライ は、 モビリティ と 致命的な 損傷 の たくさん の 近接 戦闘 クラスです！|사무라이는 이동성과 치명적인 손상을 많이 가진 가까운 전투 클래스입니다!|Der Samurai ist eine Nahkampf-Klasse mit viel Mobilität und tödlichen Schaden!
paladin_ad|Paladin is a hybrid class that can be built into a healing tank, physical damage dealer or a mage!|Temppeliritari on hybridiluokka, joka voidaan kehittää parantavaksi tankiksi, fyysiseksi vahingontuottajaksi tai velhoksi!|Paladín es una clase híbrida que puede ser construido en un tanque de curación, distribuidor daño físico o un mago!|Паладин  - гибкий гибридный класс, он способен танковать, исцелять, сражаться в ближнем бою и использовать мощные способности.|圣骑士是可以内置到愈合坦克， 物理损坏的经销商或法师的混合类！|パラディン は、 治癒 タンク、 物理的な ダメージディーラー や 魔術師 に 組み込む こと が できる ハイブリッド クラスです！|성기사 치유 탱크, 물리적 손상 대리점 또는 마법사에 내장 할 수있는 하이브리드 클래스입니다!|Der Paladin ist eine Hybrid-Klasse, welche die Rolle als heilender Tank, physischem Kämpfer oder Magier annimt!
amazon_ad|Amazon is a ranged fighter with lots of burst damage, can be built to poison, lightning or physical builds!|Amatsoni on kaukotaistelija, jolla on paljon purkausvahinkoa, voidaan kehittää myrkky-, salama- tai fyysiseen taisteluun!|Amazonas es un luchador a distancia con un montón de daño explosivo, se puede construir al veneno, rayos o construye física!|Амазонка сражается в дальнем бою. Её можно собрать через Урон Ядом, можно через Урон Молний или Физический Урон.|亚马逊是一个远程战斗机有很多爆发伤害的， 建成后可中毒，雷击或物理构建！|アマゾン は 多く の バーストダメージ を 持つ 遠距離 戦闘機であり、  毒、 雷、 または 物理的な ビルド に 構築 できます！|아마존, 독, 번개 또는 물리적 빌드에 파열 손상의 많은 원거리 전투기 구축 할 수 있습니다!|Die Amazone ist eine Fernkämpferin mit vielem Burst-Schaden welche mit gift, blitz oder physischem Schaden gebaut werden kann!
demon_slayer_ad|Demon Slayer is a mobile master of arms, can use guns or melee weapons! DLC also includes Demonspawn!|Pirunmetsästäjä on liikkuva aseiden mestari, joka voi käyttää pyssyjä tai lähitaisteluaseita! Lisäosa sisältää myös Pirulaisen!|Matador de demônios es un maestro de armas móvil, puede utilizar armas de fuego o armas cuerpo a cuerpo! DLC también incluye Demonspawn!|Убийца Демонов может использовать огнестрельное оружие и оружие ближнего боя! В это Дополнение также входит Демоническое Отродье.|斩妖除魔的武器移动主，可以使用枪支或近战武器！ DLC还包括 恶魔之子！|デーモンスレイヤーは腕のモバイルマスターである、 銃や近接武器を使用することができます！ DLCも悪魔の子が含まれています！|악마 사냥꾼은 총이나 근접 무기를 사용할 수있는 무기의 모바일 마스터입니다! DLC는 데몬스폰을 포함!|Der Dämonentöter ist ein mobiler Waffenmeister der entweder Pistolen oder Nahkampfwaffen verwendet! Das DLC enthält auch die Dämonenbrut!
demonspawn_ad|Demonspawn is a caster class with lots of AOE spells, can also fly by default! DLC also includes Demon Slayer!|Pirulainen on velhomainen luokka, jolla on paljon alueloitusja, voi lentää oletuksena! Lisäosa sisältää myös Pirunmetsästäjän!|Demonspawn es una clase de lanzador con un montón de hechizos de área de efecto, también puede volar por defecto! DLC también incluye Matador de demônios!|Демоническое Отродье обладает мощными чарами с уроном по области и может летать! В это Дополнение также входит Убийца Демонов.|恶魔之子 是施法类， 有很多影响法术的面积， 也可以在默认情况下飞！ DLC还包括斩妖除魔！|悪魔の子 もデフォルトで飛ぶことができ、 効果呪文の面積の多くが付い ているキャスタークラスです！ DLCはまた、 悪魔スレイヤーが含まれています！|데몬스폰 는 기본적으로 비행 할 수, 효과 주문의 지역의 많은 캐스터 클래스입니다! DLC는 악마 슬레이어를 포함!|Die Dämonenbrut ist eine Caster Klasse mit vielen Flächenzauber, ebenfalls fliegt Sie auch immer! Das DLC enthält auch den Dämonentöter!
shaman_ad|Shaman specializes in elemental damage, has companion wolves and totems!|Shamaani erikoistuu elementaalivahinkoon, hänellä on seurasusia ja toteemeja!|Chamán se especializa en el daño elemental, tiene lobos de compañía y tótems!|Шаману подвластны все стихии! Шаман способен призывать тотемы и духов диких волков!|萨满专注于元素伤害， 有伴侣狼和图腾！|シャーマンは、 元素の損傷に特化し、 コンパニオンオオカミとトーテムを持っています！|주술사가 원소 피해 전문, 동반자 늑대 토템이있다!|Der Schamane ist in Elementarschaden spezialisiert, wird von Wölfen und Totems begleitet!
marauder_ad|Marauder is the ultimate war machine, specializing in mobility, explosives and stunning enemies!|Ryöväri on ylivoimainen sotakone, joka erikoistuu liikkuvuuteen, räjähteisiin ja vihollisten tainnutukseen!|Saqueador es la última máquina de guerra, que se especializa en la movilidad, explosivos y aturdiendo a los enemigos!|Мародёр - живое воплощение беспощадной всепожирающей военной машины! Его цепи сковывают, стягивают врагов и разрывают плоть! А бомбы и ловушки не оставляют врагам шанса. Беспощадный и смертоносный!|掠夺者是最终的战争机器， 专业性， 炸药和令人惊叹的敌人！|マローダーは、 モビリティ、 爆発物や見事な敵に特化した、 究極の戦争マシンです！|약탈자는 궁극적 인 전쟁 기계 이동성, 폭발물과 멋진 원수 전문!|Der Marodeur ist die ultimative Kampfmaschine, spezialisiert auf Mobilität, Sprengstoffe und die Betäubung von Feinden!
plague_doctor_ad|Plague Doctor specializes in spreading the plague, dealing DOT damage and breathing fire!|Ruttolääkäri erikoistuu ruton levittämiseen, vahinkoon ajan myötä ja tulen syöksemiseen!|Doctor de la plaga se especializa en la difusión de la plaga, haciendo daño en el tiempo y respirando fuego!|Чумной Доктор - вестник Чумы! Он специализируется на периодическом уроне!|瘟疫医生专门传播瘟疫， 造成伤害随着时间的推移和喷火！|ペスト医師は、 疫病を拡散時間をかけてダメージを与え、 火災の呼吸を専門に！|전염병 의사, 전염병 확산 시간이 지남에 따라 피해를 입히고 불을 호흡을 전문으로!|Der Pest-Doktor spezialisiert sich darin DOTs mit der Pest und Feuerspuckendem Atem zu verbreiten!
